state,county,state_fips,county_fips,Unnamed: 4,2-person household H13. Household Size [8]_2010,3-person household H13. Household Size [8]_2010,4-person household H13. Household Size [8]_2010,5-person household H13. Household Size [8]_2010,6-person household H13. Household Size [8]_2010,7-or-more-person household H13. Household Size [8]_2010,Total population_2010,White alone_2010,Black or African American alone_2010,American Indian and Alaska Native alone_2010,Asian alone_2010,Native Hawaiian and Other Pacific Islander alone_2010,Some Other Race alone_2010,Two or More Races_2010,Not Hispanic or Latino_2010,Hispanic or Latino_2010,Total Population_2010,Urban:_2010,Urban: !! Inside urbanized areas_2010,Urban: !! Inside urban clusters_2010,Rural !! Inside urban clusters_2010,Male:_2010,Male: !! Under 5 years_2010,Male: !! 5 to 9 years_2010,Male: !! 10 to 14 years_2010,Male: !! 15 to 17 years_2010,Male: !! 18 and 19 years_2010,Male: !! 20 years_2010,Male: !! 21 years_2010,Male: !! 22 to 24 years_2010,Male: !! 25 to 29 years_2010,Male: !! 30 to 34 years_2010,Male: !! 35 to 39 years_2010,Male: !! 40 to 44 years_2010,Male: !! 45 to 49 years_2010,Male: !! 50 to 54 years_2010,Male: !! 55 to 59 years_2010,Male: !! 60 and 61 years_2010,Male: !! 62 to 64 years_2010,Male: !! 65 and 66 years_2010,Male: !! 67 to 69 years_2010,Male: !! 70 to 74 years_2010,Male: !! 75 to 79 years_2010,Male: !! 80 to 84 years_2010,Male: !! 85 years and over_2010,Female: !! 85 years and over_2010,Female: !! Under 5 years_2010,Female: !! 5 to 9 years_2010,Female: !! 10 to 14 years_2010,Female: !! 15 to 17 years_2010,Female: !! 18 and 19 years_2010,Female: !! 20 years_2010,Female: !! 21 years_2010,Female: !! 22 to 24 years_2010,Female: !! 25 to 29 years_2010,Female: !! 30 to 34 years_2010,Female: !! 35 to 39 years_2010,Female: !! 40 to 44 years_2010,Female: !! 45 to 49 years_2010,Female: !! 50 to 54 years_2010,Female: !! 55 to 59 years_2010,Female: !! 60 and 61 years_2010,Female: !! 62 to 64 years_2010,Female: !! 65 and 66 years_2010,Female: !! 67 to 69 years_2010,Female: !! 70 to 74 years_2010,Female: !! 75 to 79 years_2010,Female: !! 80 to 84 years_2010
Alabama,Autauga,1,1,,6480,3841,3223,1496,507,233,54571,42855,9643,232,474,32,466,869,53261,1310,54571,0,0,0,0,26569,1866,2001,2171,1417,796,350,279,910,1543,1594,2004,1974,2174,1866,1524,494,785,418,596,807,546,295,159,392,1713,1990,2119,1336,741,315,307,919,1614,1736,2153,2112,2158,2007,1559,607,891,514,749,929,705,436
Alabama,Baldwin,1,3,,27641,11790,9231,4049,1425,672,182265,156153,17105,1216,1348,89,3631,2723,174273,7992,182265,0,0,0,0,89196,5614,5832,6076,3704,2226,1013,862,2918,5183,5317,5725,5895,6622,6425,5943,2301,3427,2054,2841,3663,2644,1735,1176,2057,5544,5767,5850,3511,2159,945,884,2827,5064,5392,5833,6100,6809,7065,6580,2499,3785,2213,3066,3966,2954,2199
Alabama,Barbour,1,5,,3289,1620,1189,582,221,122,27457,13180,12875,114,107,29,894,258,26070,1387,27457,0,0,0,0,14576,847,826,820,559,360,190,192,666,1212,1162,1046,1069,1164,1000,910,358,501,280,351,436,303,195,129,314,855,816,779,513,299,158,148,440,798,646,773,740,944,910,907,392,548,276,383,512,382,348
Alabama,Bibb,1,7,,2634,1380,1157,521,185,125,22915,17381,5047,64,22,13,185,203,22509,406,22915,0,0,0,0,12301,712,759,771,513,293,122,167,522,987,1013,1003,892,1036,847,734,294,390,188,268,347,232,138,73,206,666,646,669,465,272,138,128,414,616,633,744,743,769,734,667,256,394,222,288,410,317,217
Alabama,Blount,1,9,,7494,3852,3135,1472,534,311,57322,53068,761,307,117,38,2347,684,52696,4626,57322,0,0,0,0,28362,1805,1936,2113,1340,799,340,294,943,1735,1730,1989,2033,2096,1972,1810,716,984,546,806,1039,684,418,234,574,1811,1944,1971,1186,708,315,282,933,1701,1711,1903,2000,2067,1950,1884,756,1126,654,886,1148,833,617
Alabama,Bullock,1,11,,1083,608,454,207,88,75,10914,2507,7666,23,20,43,569,86,10137,777,10914,0,0,0,0,5912,402,295,337,212,153,68,68,256,500,444,440,376,500,472,433,144,186,104,119,170,117,54,62,146,340,275,338,231,130,77,60,182,322,289,272,274,345,380,335,137,172,112,141,189,158,97
Alabama,Butler,1,13,,2705,1520,1041,442,161,96,20947,11399,9095,60,177,7,48,161,20756,191,20947,0,0,0,0,9838,714,726,750,461,283,105,119,310,578,574,541,550,638,763,714,260,368,231,261,347,253,155,137,375,658,625,715,407,240,113,144,379,705,670,621,665,790,789,817,281,385,219,293,478,407,333
Alabama,Calhoun,1,15,,16293,8131,5816,2547,908,507,118572,88840,24382,540,845,96,1894,1975,114679,3893,118572,0,0,0,0,57176,3705,3881,3936,2454,1889,1013,1016,2445,3711,3517,3524,3637,4086,4172,3858,1412,1960,1050,1420,1849,1336,838,467,1337,3499,3640,3783,2228,2036,1068,987,2493,3890,3669,3708,3758,4205,4523,4166,1568,2145,1197,1670,2251,2038,1537
Alabama,Chambers,1,17,,4674,2375,1638,743,280,170,34215,20112,13257,69,168,10,214,385,33679,536,34215,0,0,0,0,16363,981,1081,1134,738,430,216,211,576,902,922,1032,1157,1168,1262,1165,451,626,368,462,626,419,247,189,582,972,964,1103,730,400,237,164,521,985,992,1115,1128,1234,1385,1302,484,741,426,567,659,666,495
Alabama,Cherokee,1,19,,4001,1782,1287,492,185,115,25989,24081,1208,135,54,1,123,387,25669,320,25989,0,0,0,0,12888,718,735,829,564,336,125,146,372,581,676,828,912,981,1035,964,414,585,337,437,635,367,192,119,260,672,789,801,458,312,122,122,371,624,662,810,830,938,1066,945,419,596,378,494,628,471,333
