,state,county,state_fips,county_fips,FIPS,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO,2-person household H13. Household Size [8]_2010,3-person household H13. Household Size [8]_2010,4-person household H13. Household Size [8]_2010,5-person household H13. Household Size [8]_2010,6-person household H13. Household Size [8]_2010,7-or-more-person household H13. Household Size [8]_2010,Total population_2010,White alone_2010,Black or African American alone_2010,American Indian and Alaska Native alone_2010,Asian alone_2010,Native Hawaiian and Other Pacific Islander alone_2010,Some Other Race alone_2010,Two or More Races_2010,Not Hispanic or Latino_2010,Hispanic or Latino_2010,Total Population_2010,Male:_2010,Male: !! Under 5 years_2010,Male: !! 5 to 9 years_2010,Male: !! 10 to 14 years_2010,Male: !! 15 to 17 years_2010,Male: !! 18 and 19 years_2010,Male: !! 20 years_2010,Male: !! 21 years_2010,Male: !! 22 to 24 years_2010,Male: !! 25 to 29 years_2010,Male: !! 30 to 34 years_2010,Male: !! 35 to 39 years_2010,Male: !! 40 to 44 years_2010,Male: !! 45 to 49 years_2010,Male: !! 50 to 54 years_2010,Male: !! 55 to 59 years_2010,Male: !! 60 and 61 years_2010,Male: !! 62 to 64 years_2010,Male: !! 65 and 66 years_2010,Male: !! 67 to 69 years_2010,Male: !! 70 to 74 years_2010,Male: !! 75 to 79 years_2010,Male: !! 80 to 84 years_2010,Male: !! 85 years and over_2010,Female: !! 85 years and over_2010,Female: !! Under 5 years_2010,Female: !! 5 to 9 years_2010,Female: !! 10 to 14 years_2010,Female: !! 15 to 17 years_2010,Female: !! 18 and 19 years_2010,Female: !! 20 years_2010,Female: !! 21 years_2010,Female: !! 22 to 24 years_2010,Female: !! 25 to 29 years_2010,Female: !! 30 to 34 years_2010,Female: !! 35 to 39 years_2010,Female: !! 40 to 44 years_2010,Female: !! 45 to 49 years_2010,Female: !! 50 to 54 years_2010,Female: !! 55 to 59 years_2010,Female: !! 60 and 61 years_2010,Female: !! 62 to 64 years_2010,Female: !! 65 and 66 years_2010,Female: !! 67 to 69 years_2010,Female: !! 70 to 74 years_2010,Female: !! 75 to 79 years_2010,Female: !! 80 to 84 years_2010,Total,adjTotal
6,Alabama,Autauga,01,001,01001,36067,1.0,0.997959184,1.0,0.999855093,6480.0,3841.0,3223.0,1496.0,507.0,233.0,54571.0,42855.0,9643.0,232.0,474.0,32.0,466.0,869.0,53261.0,1310.0,54571.0,26569.0,1866.0,2001.0,2171.0,1417.0,796.0,350.0,279.0,910.0,1543.0,1594.0,2004.0,1974.0,2174.0,1866.0,1524.0,494.0,785.0,418.0,596.0,807.0,546.0,295.0,159.0,392.0,1713.0,1990.0,2119.0,1336.0,741.0,315.0,307.0,919.0,1614.0,1736.0,2153.0,2112.0,2158.0,2007.0,1559.0,607.0,891.0,514.0,749.0,929.0,705.0,436.0,243035.940001,243035.940001
13,Alabama,Baldwin,01,003,01003,36502,0.01145966,0.00811124,0.0,0.010937984,27641.0,11790.0,9231.0,4049.0,1425.0,672.0,182265.0,156153.0,17105.0,1216.0,1348.0,89.0,3631.0,2723.0,174273.0,7992.0,182265.0,89196.0,5614.0,5832.0,6076.0,3704.0,2226.0,1013.0,862.0,2918.0,5183.0,5317.0,5725.0,5895.0,6622.0,6425.0,5943.0,2301.0,3427.0,2054.0,2841.0,3663.0,2644.0,1735.0,1176.0,2057.0,5544.0,5767.0,5850.0,3511.0,2159.0,945.0,884.0,2827.0,5064.0,5392.0,5833.0,6100.0,6809.0,7065.0,6580.0,2499.0,3785.0,2213.0,3066.0,3966.0,2954.0,2199.0,443237.549995,5079.35162218
14,Alabama,Baldwin,01,003,01003,36507,1.0,1.0,1.0,1.0,27641.0,11790.0,9231.0,4049.0,1425.0,672.0,182265.0,156153.0,17105.0,1216.0,1348.0,89.0,3631.0,2723.0,174273.0,7992.0,182265.0,89196.0,5614.0,5832.0,6076.0,3704.0,2226.0,1013.0,862.0,2918.0,5183.0,5317.0,5725.0,5895.0,6622.0,6425.0,5943.0,2301.0,3427.0,2054.0,2841.0,3663.0,2644.0,1735.0,1176.0,2057.0,5544.0,5767.0,5850.0,3511.0,2159.0,945.0,884.0,2827.0,5064.0,5392.0,5833.0,6100.0,6809.0,7065.0,6580.0,2499.0,3785.0,2213.0,3066.0,3966.0,2954.0,2199.0,141084.480003,141084.480003
19,Alabama,Baldwin,01,003,01003,36532,1.0,1.0,1.0,1.0,27641.0,11790.0,9231.0,4049.0,1425.0,672.0,182265.0,156153.0,17105.0,1216.0,1348.0,89.0,3631.0,2723.0,174273.0,7992.0,182265.0,89196.0,5614.0,5832.0,6076.0,3704.0,2226.0,1013.0,862.0,2918.0,5183.0,5317.0,5725.0,5895.0,6622.0,6425.0,5943.0,2301.0,3427.0,2054.0,2841.0,3663.0,2644.0,1735.0,1176.0,2057.0,5544.0,5767.0,5850.0,3511.0,2159.0,945.0,884.0,2827.0,5064.0,5392.0,5833.0,6100.0,6809.0,7065.0,6580.0,2499.0,3785.0,2213.0,3066.0,3966.0,2954.0,2199.0,804101.820059,804101.820059
21,Alabama,Baldwin,01,003,01003,36535,1.0,1.0,1.0,1.0,27641.0,11790.0,9231.0,4049.0,1425.0,672.0,182265.0,156153.0,17105.0,1216.0,1348.0,89.0,3631.0,2723.0,174273.0,7992.0,182265.0,89196.0,5614.0,5832.0,6076.0,3704.0,2226.0,1013.0,862.0,2918.0,5183.0,5317.0,5725.0,5895.0,6622.0,6425.0,5943.0,2301.0,3427.0,2054.0,2841.0,3663.0,2644.0,1735.0,1176.0,2057.0,5544.0,5767.0,5850.0,3511.0,2159.0,945.0,884.0,2827.0,5064.0,5392.0,5833.0,6100.0,6809.0,7065.0,6580.0,2499.0,3785.0,2213.0,3066.0,3966.0,2954.0,2199.0,1127285.63,1127285.63
42,Alabama,Barbour,01,005,01005,36027,0.991567037,0.998397436,1.0,0.992514555,3289.0,1620.0,1189.0,582.0,221.0,122.0,27457.0,13180.0,12875.0,114.0,107.0,29.0,894.0,258.0,26070.0,1387.0,27457.0,14576.0,847.0,826.0,820.0,559.0,360.0,190.0,192.0,666.0,1212.0,1162.0,1046.0,1069.0,1164.0,1000.0,910.0,358.0,501.0,280.0,351.0,436.0,303.0,195.0,129.0,314.0,855.0,816.0,779.0,513.0,299.0,158.0,148.0,440.0,798.0,646.0,773.0,740.0,944.0,910.0,907.0,392.0,548.0,276.0,383.0,512.0,382.0,348.0,277573.090057,275232.326458
51,Alabama,Bibb,01,007,01007,35042,0.999669093,1.0,1.0,0.999699429,2634.0,1380.0,1157.0,521.0,185.0,125.0,22915.0,17381.0,5047.0,64.0,22.0,13.0,185.0,203.0,22509.0,406.0,22915.0,12301.0,712.0,759.0,771.0,513.0,293.0,122.0,167.0,522.0,987.0,1013.0,1003.0,892.0,1036.0,847.0,734.0,294.0,390.0,188.0,268.0,347.0,232.0,138.0,73.0,206.0,666.0,646.0,669.0,465.0,272.0,138.0,128.0,414.0,616.0,633.0,744.0,743.0,769.0,734.0,667.0,256.0,394.0,222.0,288.0,410.0,317.0,217.0,21958.980001,21951.7136208
74,Alabama,Blount,01,009,01009,35957,0.033636614,0.005649718,0.017857143,0.030420555,7494.0,3852.0,3135.0,1472.0,534.0,311.0,57322.0,53068.0,761.0,307.0,117.0,38.0,2347.0,684.0,52696.0,4626.0,57322.0,28362.0,1805.0,1936.0,2113.0,1340.0,799.0,340.0,294.0,943.0,1735.0,1730.0,1989.0,2033.0,2096.0,1972.0,1810.0,716.0,984.0,546.0,806.0,1039.0,684.0,418.0,234.0,574.0,1811.0,1944.0,1971.0,1186.0,708.0,315.0,282.0,933.0,1701.0,1711.0,1903.0,2000.0,2067.0,1950.0,1884.0,756.0,1126.0,654.0,886.0,1148.0,833.0,617.0,2236869.98,75240.7320854
82,Alabama,Bullock,01,011,01011,36081,0.000523944,0.0,0.0,0.000445117,1083.0,608.0,454.0,207.0,88.0,75.0,10914.0,2507.0,7666.0,23.0,20.0,43.0,569.0,86.0,10137.0,777.0,10914.0,5912.0,402.0,295.0,337.0,212.0,153.0,68.0,68.0,256.0,500.0,444.0,440.0,376.0,500.0,472.0,433.0,144.0,186.0,104.0,119.0,170.0,117.0,54.0,62.0,146.0,340.0,275.0,338.0,231.0,130.0,77.0,60.0,182.0,322.0,289.0,272.0,274.0,345.0,380.0,335.0,137.0,172.0,112.0,141.0,189.0,158.0,97.0,304978.279994,159.791539933
83,Alabama,Bullock,01,011,01011,36089,0.912884334,0.982005141,1.0,0.919664533,1083.0,608.0,454.0,207.0,88.0,75.0,10914.0,2507.0,7666.0,23.0,20.0,43.0,569.0,86.0,10137.0,777.0,10914.0,5912.0,402.0,295.0,337.0,212.0,153.0,68.0,68.0,256.0,500.0,444.0,440.0,376.0,500.0,472.0,433.0,144.0,186.0,104.0,119.0,170.0,117.0,54.0,62.0,146.0,340.0,275.0,338.0,231.0,130.0,77.0,60.0,182.0,322.0,289.0,272.0,274.0,345.0,380.0,335.0,137.0,172.0,112.0,141.0,189.0,158.0,97.0,7240.56,6609.79379339
88,Alabama,Butler,01,013,01013,36033,0.979227254,0.975308642,1.0,0.981887844,2705.0,1520.0,1041.0,442.0,161.0,96.0,20947.0,11399.0,9095.0,60.0,177.0,7.0,48.0,161.0,20756.0,191.0,20947.0,9838.0,714.0,726.0,750.0,461.0,283.0,105.0,119.0,310.0,578.0,574.0,541.0,550.0,638.0,763.0,714.0,260.0,368.0,231.0,261.0,347.0,253.0,155.0,137.0,375.0,658.0,625.0,715.0,407.0,240.0,113.0,144.0,379.0,705.0,670.0,621.0,665.0,790.0,789.0,817.0,281.0,385.0,219.0,293.0,478.0,407.0,333.0,34710.3000016,33989.2717561
89,Alabama,Butler,01,013,01013,36037,0.996840442,0.997916667,1.0,0.997014925,2705.0,1520.0,1041.0,442.0,161.0,96.0,20947.0,11399.0,9095.0,60.0,177.0,7.0,48.0,161.0,20756.0,191.0,20947.0,9838.0,714.0,726.0,750.0,461.0,283.0,105.0,119.0,310.0,578.0,574.0,541.0,550.0,638.0,763.0,714.0,260.0,368.0,231.0,261.0,347.0,253.0,155.0,137.0,375.0,658.0,625.0,715.0,407.0,240.0,113.0,144.0,379.0,705.0,670.0,621.0,665.0,790.0,789.0,817.0,281.0,385.0,219.0,293.0,478.0,407.0,333.0,186214.360002,185626.004931
